iter	Passed	Remaining
0	81	161959
1	161	160885
2	249	166308
3	338	168962
4	489	195263
5	575	191398
6	661	188228
7	759	189103
8	850	188186
9	942	187516
10	1032	186781
11	1125	186492
12	1216	186002
13	1309	185709
14	1396	184764
15	1486	184383
16	1576	183882
17	1664	183295
18	1755	183056
19	1851	183292
20	1974	186066
21	2064	185609
22	2150	184854
23	2238	184329
24	2329	184053
25	2420	183735
26	2511	183538
27	2601	183242
28	2694	183123
29	2785	182927
30	2872	182449
31	2962	182168
32	3052	181954
33	3142	181708
34	3232	181500
35	3321	181214
36	3409	180895
37	3510	181251
38	3633	182714
39	3733	182957
40	3823	182704
41	3911	182327
42	3996	181894
43	4084	181560
44	4168	181097
45	4255	180766
46	4346	180601
47	4433	180313
48	4524	180164
49	4615	180019
50	4701	179664
51	4792	179522
52	4886	179527
53	4972	179178
54	5074	179438
55	5160	179139
56	5251	179027
57	5338	178753
58	5423	178431
59	5511	178197
60	5607	178243
61	5693	177976
62	5779	177694
63	5869	177553
64	5955	177277
65	6039	176980
66	6131	176901
67	6220	176731
68	6305	176457
69	6391	176231
70	6477	175993
71	6568	175889
72	6654	175658
73	6740	175425
74	6823	175134
75	6912	174999
76	6994	174671
77	7083	174545
78	7170	174358
79	7257	174171
80	7343	173989
81	7426	173715
82	7513	173540
83	7602	173406
84	7687	173205
85	7775	173058
86	7863	172902
87	7951	172756
88	8037	172574
89	8119	172309
90	8209	172211
91	8293	171998
92	8384	171918
93	8471	171767
94	8562	171692
95	8650	171561
96	8736	171389
97	8821	171204
98	8908	171068
99	8995	170917
100	9082	170766
101	9168	170601
102	9256	170488
103	9342	170321
104	9430	170199
105	9517	170050
106	9617	170141
107	9747	170765
108	9880	171416
109	9988	171627
110	10095	171799
111	10204	172019
112	10305	172095
113	10390	171903
114	10475	171709
115	10565	171605
116	10652	171448
117	10742	171334
118	10829	171177
119	10919	171066
120	11005	170898
121	11093	170763
122	11179	170599
123	11274	170576
124	11363	170451
125	11452	170339
126	11543	170239
127	11632	170132
128	11722	170026
129	11813	169935
130	11898	169764
131	11990	169686
132	12078	169549
133	12167	169441
134	12258	169342
135	12350	169279
136	12443	169215
137	12532	169101
138	12625	169033
139	12712	168897
140	12799	168758
141	12888	168633
142	12976	168518
143	13069	168454
144	13156	168316
145	13246	168214
146	13341	168173
147	13431	168078
148	13521	167974
149	13607	167825
150	13699	167747
151	13789	167648
152	13876	167521
153	13968	167435
154	14063	167403
155	14149	167255
156	14243	167202
157	14334	167114
158	14424	167021
159	14514	166916
160	14607	166856
161	14699	166772
162	14790	166684
163	14887	166671
164	14984	166648
165	15095	166775
166	15182	166640
167	15270	166525
168	15362	166442
169	15449	166312
170	15537	166183
171	15625	166067
172	15710	165917
173	15801	165824
174	15888	165693
175	15977	165585
176	16069	165507
177	16164	165462
178	16257	165387
179	16345	165272
180	16435	165176
181	16524	165058
182	16615	164972
183	16706	164884
184	16794	164770
185	16885	164683
186	16979	164614
187	17071	164542
188	17167	164500
189	17263	164461
190	17362	164447
191	17451	164335
192	17560	164409
193	17655	164361
194	17750	164307
195	17836	164172
196	17922	164036
197	18014	163947
198	18099	163809
199	18193	163738
200	18283	163641
201	18370	163517
202	18458	163402
203	18551	163326
204	18644	163249
205	18733	163142
206	18823	163042
207	18918	162989
208	19036	163131
209	19154	163272
210	19260	163304
211	19363	163310
212	19472	163368
213	19571	163343
214	19673	163335
215	19773	163310
216	19863	163212
217	19958	163144
218	20046	163022
219	20132	162893
220	20221	162775
221	20318	162728
222	20410	162641
223	20507	162597
224	20598	162499
225	20693	162431
226	20781	162316
227	20874	162234
228	20965	162139
229	21059	162063
230	21149	161963
231	21241	161871
232	21335	161799
233	21426	161704
