country,brand_name,months_postgx,n_gxs
COUNTRY_B6AE,BRAND_1C1E,0,4.0
COUNTRY_B6AE,BRAND_1C1E,1,4.0
COUNTRY_B6AE,BRAND_1C1E,2,4.0
COUNTRY_B6AE,BRAND_1C1E,3,4.0
COUNTRY_B6AE,BRAND_1C1E,4,4.0
COUNTRY_B6AE,BRAND_1C1E,5,4.0
COUNTRY_B6AE,BRAND_1C1E,6,4.0
COUNTRY_B6AE,BRAND_1C1E,7,4.0
COUNTRY_B6AE,BRAND_1C1E,8,4.0
COUNTRY_B6AE,BRAND_1C1E,9,4.0
COUNTRY_B6AE,BRAND_1C1E,10,4.0
COUNTRY_B6AE,BRAND_1C1E,11,4.0
COUNTRY_B6AE,BRAND_1C1E,12,4.0
COUNTRY_B6AE,BRAND_1C1E,13,4.0
COUNTRY_B6AE,BRAND_1C1E,14,4.0
COUNTRY_B6AE,BRAND_1C1E,15,4.0
COUNTRY_B6AE,BRAND_1C1E,16,4.0
COUNTRY_B6AE,BRAND_1C1E,17,4.0
COUNTRY_B6AE,BRAND_1C1E,18,4.0
COUNTRY_B6AE,BRAND_1C1E,19,4.0
COUNTRY_B6AE,BRAND_1C1E,20,4.0
COUNTRY_B6AE,BRAND_1C1E,21,4.0
COUNTRY_B6AE,BRAND_1C1E,22,4.0
COUNTRY_B6AE,BRAND_1C1E,23,4.0
COUNTRY_B6AE,BRAND_E7C2,0,2.0
COUNTRY_B6AE,BRAND_E7C2,1,2.0
COUNTRY_B6AE,BRAND_E7C2,2,2.0
COUNTRY_B6AE,BRAND_E7C2,3,2.0
COUNTRY_B6AE,BRAND_E7C2,4,3.0
COUNTRY_B6AE,BRAND_E7C2,5,3.0
COUNTRY_B6AE,BRAND_E7C2,6,3.0
COUNTRY_B6AE,BRAND_E7C2,7,3.0
COUNTRY_B6AE,BRAND_E7C2,8,3.0
COUNTRY_B6AE,BRAND_E7C2,9,3.0
COUNTRY_B6AE,BRAND_E7C2,10,3.0
COUNTRY_B6AE,BRAND_E7C2,11,3.0
COUNTRY_B6AE,BRAND_E7C2,12,3.0
COUNTRY_B6AE,BRAND_E7C2,13,3.0
COUNTRY_B6AE,BRAND_E7C2,14,3.0
COUNTRY_B6AE,BRAND_E7C2,15,3.0
COUNTRY_B6AE,BRAND_E7C2,16,3.0
COUNTRY_B6AE,BRAND_E7C2,17,3.0
COUNTRY_B6AE,BRAND_E7C2,18,3.0
COUNTRY_B6AE,BRAND_E7C2,19,3.0
COUNTRY_B6AE,BRAND_E7C2,20,3.0
COUNTRY_B6AE,BRAND_E7C2,21,3.0
COUNTRY_B6AE,BRAND_E7C2,22,3.0
COUNTRY_B6AE,BRAND_E7C2,23,3.0
COUNTRY_B6AE,BRAND_9065,0,
COUNTRY_B6AE,BRAND_9065,1,
COUNTRY_B6AE,BRAND_9065,2,
COUNTRY_B6AE,BRAND_9065,3,
COUNTRY_B6AE,BRAND_9065,4,
COUNTRY_B6AE,BRAND_9065,5,
COUNTRY_B6AE,BRAND_9065,6,
COUNTRY_B6AE,BRAND_9065,7,
COUNTRY_B6AE,BRAND_9065,8,
COUNTRY_B6AE,BRAND_9065,9,
COUNTRY_B6AE,BRAND_9065,10,
COUNTRY_B6AE,BRAND_9065,11,
COUNTRY_B6AE,BRAND_9065,12,
COUNTRY_B6AE,BRAND_9065,13,
COUNTRY_B6AE,BRAND_9065,14,
COUNTRY_B6AE,BRAND_9065,15,
COUNTRY_B6AE,BRAND_9065,16,
COUNTRY_B6AE,BRAND_9065,17,
COUNTRY_B6AE,BRAND_9065,18,
COUNTRY_B6AE,BRAND_9065,19,
COUNTRY_B6AE,BRAND_9065,20,
COUNTRY_B6AE,BRAND_9065,21,
COUNTRY_B6AE,BRAND_9065,22,
COUNTRY_B6AE,BRAND_9065,23,
COUNTRY_B6AE,BRAND_022B,0,3.0
COUNTRY_B6AE,BRAND_022B,1,3.0
COUNTRY_B6AE,BRAND_022B,2,3.0
COUNTRY_B6AE,BRAND_022B,3,3.0
COUNTRY_B6AE,BRAND_022B,4,3.0
COUNTRY_B6AE,BRAND_022B,5,3.0
COUNTRY_B6AE,BRAND_022B,6,3.0
COUNTRY_B6AE,BRAND_022B,7,3.0
COUNTRY_B6AE,BRAND_022B,8,3.0
COUNTRY_B6AE,BRAND_022B,9,3.0
COUNTRY_B6AE,BRAND_022B,10,3.0
COUNTRY_B6AE,BRAND_022B,11,3.0
COUNTRY_B6AE,BRAND_022B,12,3.0
COUNTRY_B6AE,BRAND_022B,13,3.0
COUNTRY_B6AE,BRAND_022B,14,3.0
COUNTRY_B6AE,BRAND_022B,15,3.0
COUNTRY_B6AE,BRAND_022B,16,3.0
COUNTRY_B6AE,BRAND_022B,17,3.0
COUNTRY_B6AE,BRAND_022B,18,3.0
COUNTRY_B6AE,BRAND_022B,19,3.0
COUNTRY_B6AE,BRAND_022B,20,3.0
COUNTRY_B6AE,BRAND_022B,21,3.0
COUNTRY_B6AE,BRAND_022B,22,3.0
COUNTRY_B6AE,BRAND_022B,23,3.0
COUNTRY_B6AE,BRAND_D8CE,0,
COUNTRY_B6AE,BRAND_D8CE,1,
COUNTRY_B6AE,BRAND_D8CE,2,
COUNTRY_B6AE,BRAND_D8CE,3,
COUNTRY_B6AE,BRAND_D8CE,4,
COUNTRY_B6AE,BRAND_D8CE,5,
COUNTRY_B6AE,BRAND_D8CE,6,
COUNTRY_B6AE,BRAND_D8CE,7,
COUNTRY_B6AE,BRAND_D8CE,8,
COUNTRY_B6AE,BRAND_D8CE,9,
COUNTRY_B6AE,BRAND_D8CE,10,
COUNTRY_B6AE,BRAND_D8CE,11,
COUNTRY_B6AE,BRAND_D8CE,12,
COUNTRY_B6AE,BRAND_D8CE,13,
COUNTRY_B6AE,BRAND_D8CE,14,
COUNTRY_B6AE,BRAND_D8CE,15,
COUNTRY_B6AE,BRAND_D8CE,16,
COUNTRY_B6AE,BRAND_D8CE,17,
COUNTRY_B6AE,BRAND_D8CE,18,
COUNTRY_B6AE,BRAND_D8CE,19,
COUNTRY_B6AE,BRAND_D8CE,20,
COUNTRY_B6AE,BRAND_D8CE,21,
COUNTRY_B6AE,BRAND_D8CE,22,
COUNTRY_B6AE,BRAND_D8CE,23,
COUNTRY_B6AE,BRAND_3CB9,0,0.0
COUNTRY_B6AE,BRAND_3CB9,1,1.0
COUNTRY_B6AE,BRAND_3CB9,2,1.0
COUNTRY_B6AE,BRAND_3CB9,3,1.0
COUNTRY_B6AE,BRAND_3CB9,4,1.0
COUNTRY_B6AE,BRAND_3CB9,5,1.0
COUNTRY_B6AE,BRAND_3CB9,6,1.0
COUNTRY_B6AE,BRAND_3CB9,7,1.0
COUNTRY_B6AE,BRAND_3CB9,8,1.0
COUNTRY_B6AE,BRAND_3CB9,9,1.0
COUNTRY_B6AE,BRAND_3CB9,10,1.0
COUNTRY_B6AE,BRAND_3CB9,11,1.0
COUNTRY_B6AE,BRAND_3CB9,12,1.0
COUNTRY_B6AE,BRAND_3CB9,13,1.0
COUNTRY_B6AE,BRAND_3CB9,14,1.0
COUNTRY_B6AE,BRAND_3CB9,15,1.0
COUNTRY_B6AE,BRAND_3CB9,16,1.0
COUNTRY_B6AE,BRAND_3CB9,17,1.0
COUNTRY_B6AE,BRAND_3CB9,18,1.0
COUNTRY_B6AE,BRAND_3CB9,19,1.0
COUNTRY_B6AE,BRAND_3CB9,20,1.0
COUNTRY_B6AE,BRAND_3CB9,21,1.0
COUNTRY_B6AE,BRAND_3CB9,22,1.0
COUNTRY_B6AE,BRAND_3CB9,23,1.0
COUNTRY_B6AE,BRAND_FD42,0,
COUNTRY_B6AE,BRAND_FD42,1,
COUNTRY_B6AE,BRAND_FD42,2,
COUNTRY_B6AE,BRAND_FD42,3,
COUNTRY_B6AE,BRAND_FD42,4,
COUNTRY_B6AE,BRAND_FD42,5,
COUNTRY_B6AE,BRAND_FD42,6,
COUNTRY_B6AE,BRAND_FD42,7,
COUNTRY_B6AE,BRAND_FD42,8,
COUNTRY_B6AE,BRAND_FD42,9,
COUNTRY_B6AE,BRAND_FD42,10,
COUNTRY_B6AE,BRAND_FD42,11,
COUNTRY_B6AE,BRAND_FD42,12,
COUNTRY_B6AE,BRAND_FD42,13,
COUNTRY_B6AE,BRAND_FD42,14,
COUNTRY_B6AE,BRAND_FD42,15,
COUNTRY_B6AE,BRAND_FD42,16,
COUNTRY_B6AE,BRAND_FD42,17,
COUNTRY_B6AE,BRAND_FD42,18,
COUNTRY_B6AE,BRAND_FD42,19,
COUNTRY_B6AE,BRAND_FD42,20,
COUNTRY_B6AE,BRAND_FD42,21,
COUNTRY_B6AE,BRAND_FD42,22,
COUNTRY_B6AE,BRAND_FD42,23,
COUNTRY_B6AE,BRAND_52CE,0,0.0
COUNTRY_B6AE,BRAND_52CE,1,0.0
COUNTRY_B6AE,BRAND_52CE,2,0.0
COUNTRY_B6AE,BRAND_52CE,3,0.0
COUNTRY_B6AE,BRAND_52CE,4,0.0
COUNTRY_B6AE,BRAND_52CE,5,0.0
COUNTRY_B6AE,BRAND_52CE,6,0.0
COUNTRY_B6AE,BRAND_52CE,7,0.0
COUNTRY_B6AE,BRAND_52CE,8,0.0
COUNTRY_B6AE,BRAND_52CE,9,0.0
COUNTRY_B6AE,BRAND_52CE,10,0.0
COUNTRY_B6AE,BRAND_52CE,11,0.0
COUNTRY_B6AE,BRAND_52CE,12,1.0
COUNTRY_B6AE,BRAND_52CE,13,1.0
COUNTRY_B6AE,BRAND_52CE,14,1.0
COUNTRY_B6AE,BRAND_52CE,15,1.0
COUNTRY_B6AE,BRAND_52CE,16,1.0
COUNTRY_B6AE,BRAND_52CE,17,1.0
COUNTRY_B6AE,BRAND_52CE,18,1.0
COUNTRY_B6AE,BRAND_52CE,19,1.0
COUNTRY_B6AE,BRAND_52CE,20,1.0
COUNTRY_B6AE,BRAND_52CE,21,1.0
COUNTRY_B6AE,BRAND_52CE,22,1.0
COUNTRY_B6AE,BRAND_52CE,23,1.0
COUNTRY_B6AE,BRAND_6898,0,1.0
COUNTRY_B6AE,BRAND_6898,1,1.0
COUNTRY_B6AE,BRAND_6898,2,2.0
COUNTRY_B6AE,BRAND_6898,3,2.0
